ImageUrl,Genre,Title,Author,Year,Annotation,Rating
https://www.adrionltd.com/102200-thickbox_default/the-gallery-of-miracles-madness.jpg,historical non-fiction,The Gallery of Miracles and Madness,Charlie English,2021,"I enjoyed The Gallery of Miracles and Madness, even though it addresses some sensitive topics. The book offers valuable insights into human nature and how societal views on right and wrong influence individual morality.",
https://dsxuu8etcj8kw.cloudfront.net/c/4/c48m/c48m-square-400.jpg,historical non-fiction,The Storied City,Charlie English,2018,"The Storied City was an engaging read overall, although the ending struck me as somewhat ambiguous, which is not my favorite approach in non-fiction books. However, upon reflection, I realize that this ambiguity mirrors real life. In reality, we often don’t have the full story, and life itself doesn’t always adhere to a neat or satisfying plot. The book's approach ultimately adds depth and authenticity to its narrative, making it a thought-provoking and memorable read.",
https://th.bing.com/th/id/OIP.wpnzStpZ19HsGEC-wzaMfQAAAA?rs=1&pid=ImgDetMain,"non-fiction, science",The Order of Time,Carlo Rovelli,2018,"I love Carlo Rovelli's books and couldn't recommend them highly enough. The Order of Time offers a mind-bending exploration of the concept of time, grounded in real-world examples. Rovelli has a talent for explaining complex scientific concepts in everyday language, which often prompts deep reflection. As someone obsessed with time and its effects, I found this to be one of the best books I read in 2023.",
https://blackwells.co.uk/jacket/l/9780241454695.jpg,"non-fiction, science",Helgoland,Carlo Rovelli,2021,"This is my favorite Carlo Rovelli book by far. It is deeply scientific yet philosophical at its core, offering a fresh perspective on the world. Whenever I read his books, I feel as though I am transported to a different universe, and the best part is that it’s grounded in the real world rather than being imaginary. Helgoland delves into the human mind and its contributions over the years, not shying away from acknowledging the darker aspects of human nature.",
https://m.media-amazon.com/images/I/51azMRFOqkL.jpg,"non-fiction, true crime",Fric-Frac,Albert Spaggiari,2007,"Fric-Frac is a real-life story that often reads like a plot from a heist movie. It provides a detailed account of what led to the so-called heist of the century, narrated from the perspective of the person who committed the act. From the intricate planning of the robbery to the dramatic escape from the judge's chambers, the book offers an engaging and compelling read. What makes this book particularly fascinating is how its writing style highlights the changes in language and societal norms over time, reflecting the evolution in words and phrases used throughout the narrative.",
https://cdn11.bigcommerce.com/s-3rl2qg0z2p/images/stencil/1280w/products/12477/25781/covered-with-night__35394.1662240319.jpg?c=1,historical non-fiction,Covered With Night,Nicole Eustace,2022,"Covered With Night is an engaging book that provides insight into a different culture and the reasons behind its perspectives. Although it delves into some shameful aspects of history, it also offers valuable lessons on how our own cultures shape our thoughts and actions. The book encourages reflection on the ways in which historical and cultural contexts influence our behavior and worldview.",
https://th.bing.com/th/id/OIP.TDC38P33Py4JehPG9ep5awHaLH?rs=1&pid=ImgDetMain,Fiction,The Three Musketeers,Alexande Dumas,1844,"One of my favorite stories from childhood, this book is a thrilling tale of adventure, friendship, and the desire to see the world. Although I typically don't prefer fiction, this book was my first exception.",
https://th.bing.com/th/id/OIP.zE6l_EQpwwFGvVXNhRKVagAAAA?rs=1&pid=ImgDetMain,"non-fiction, science",A Brief History of Time,Stephen Hawking,1988,"This book offers an insightful explanation of the universe, exploring both its minuscule and grand scales. As new theories emerge and evolve, the book’s content must be updated to remain accurate. It remains a pioneering work in understanding the world we live in.",
https://th.bing.com/th/id/OIP.THmqRqWernQWPB_pRrlkfgAAAA?rs=1&pid=ImgDetMain,"true crime, biography, cultural history",Unmask Alice,Rick Emerson,2021,"An excellent piece of investigative work, Unmask Alice is easy to follow even for those unfamiliar with the topic. It is heartfelt at the right moments and provides a thorough examination of popular norms and their impact.",
https://www.shtepiaelibrit.com/store/1551-medium_default/pse-sterjo-spase.jpg,"Fiction,social realism, Albanian",Pse?!,Sterjo Spasse ,,"This book clearly addresses the challenges and significance of Albanian culture, highlighting the balance between familial responsibilities and personal identity. It explores how these aspects can sometimes overlap, making it a thought-provoking read.",
